E	4.45155E+11
T	3.30535E+11
A	2.86527E+11
O	2.72277E+11
I	2.69732E+11
N	2.57771E+11
S	2.32083E+11
R	2.23768E+11
H	1.80075E+11
L	1.44999E+11
D	1.36018E+11
C	1.19156E+11
U	97273082907
M	89506734085
F	85635440629
P	76112599849
G	66615316232
W	59712390260
Y	59331661972
B	52905544693
V	37532682260
K	19261229433
X	8369138754
J	5657910830
Q	4292916949
Z	3205398166
